idx,time_imp,imp_count,hist_count,best_model
1,13,22,15,1
2,7,7,13,2
3,10,23,9,1
4,15,26,19,2
5,8,14,5,1
6,13,11,11,1
7,5,7,9,2
8,10,41,10,2
9,12,4,9,3
10,16,15,10,1
11,13,94,26,1
12,13,39,37,1
13,7,12,41,1
14,6,128,59,1
15,12,12,19,2
16,6,121,17,3
17,7,13,5,1
18,15,55,3,1
19,15,14,39,3
20,8,6,55,2
21,10,14,3,3
22,6,7,0,3
23,8,13,28,2
24,19,35,12,3
25,10,12,27,2
26,2,53,4,3
27,9,130,12,2
28,7,6,6,2
29,1,101,24,3
30,7,62,3,2
31,11,71,26,1
32,14,30,33,3
33,14,5,3,2
34,16,11,9,2
35,9,2,4,1
36,7,19,5,2
37,12,8,13,2
38,6,7,0,3
39,11,79,78,1
40,13,5,0,3
41,10,12,10,1
42,11,13,67,2
43,13,36,71,1
44,6,6,47,3
45,5,30,64,2
46,8,5,42,2
47,14,8,30,2
48,7,76,10,1
49,8,32,0,1
50,12,21,9,2
51,6,2,13,3
52,9,15,13,2
53,5,67,77,1
54,15,5,6,2
55,14,20,97,2
56,11,87,6,2
57,5,4,19,2
58,8,55,71,2
59,8,23,44,2
60,15,11,212,3
61,13,17,29,1
62,11,4,17,3
63,12,55,13,3
64,16,85,5,2
65,11,27,25,3
66,6,26,47,2
67,12,49,30,1
68,10,5,11,3
69,9,14,0,2
70,6,19,7,1
71,16,10,28,2
72,8,25,5,2
73,15,11,19,1
74,6,56,10,1
75,10,70,17,1
76,16,25,13,2
77,9,65,3,1
78,10,55,53,1
79,8,6,123,1
80,7,7,6,2
81,1,60,7,3
82,6,12,322,1
83,14,14,27,2
84,14,26,13,1
85,9,25,223,2
86,10,62,22,1
87,13,20,81,1
88,4,37,78,1
89,13,14,43,2
90,11,32,6,1
91,14,11,82,1
92,11,2,49,3
93,9,25,2,1
94,6,15,12,1
95,6,5,5,2
96,13,4,4,2
97,12,39,8,2
98,14,63,25,1
99,11,50,10,3
100,17,117,3,1
101,13,27,26,1
102,11,26,36,2
103,21,20,6,2
104,8,11,16,2
105,6,119,33,1
106,12,12,19,2
107,10,4,41,1
108,12,17,60,2
