Impression ID,Best_Model
1,1
2,2
3,1
4,2
5,1
6,1
7,2
8,2
9,3
10,1
11,1
12,1
13,1
14,1
15,2
16,3
17,1
18,1
19,3
20,2
21,3
22,3
23,2
24,3
25,2
26,3
27,2
28,2
29,3
30,2
31,1
32,3
33,2
34,2
35,1
36,2
37,2
38,3
39,1
40,3
41,1
42,2
43,1
44,3
45,2
46,2
47,2
48,1
49,1
50,2
51,3
52,2
53,1
54,2
55,2
56,2
57,2
58,2
59,2
60,3
61,1
62,3
63,3
64,2
65,3
66,2
67,1
68,3
69,2
70,1
71,2
72,2
73,1
74,1
75,1
76,2
77,1
78,1
79,1
80,2
81,3
82,1
83,2
84,1
85,2
86,1
87,1
88,1
89,2
90,1
91,1
92,3
93,1
94,1
95,2
96,2
97,2
98,1
99,3
100,1
101,1
102,2
103,2
104,2
105,1
106,2
107,1
108,2
109,2
110,3
111,3
112,1
113,3
114,1
115,2
116,2
117,3
118,1
119,3
120,3
121,1
122,1
123,2
124,3
125,3
126,2
127,1
128,1
129,3
130,2
131,1
132,2
133,1
134,3
135,1
136,2
137,2
138,2
139,3
140,2
141,3
142,1
143,2
144,2
145,2
146,1
147,1
148,1
149,1
150,1
151,2
152,2
153,3
154,1
155,1
156,3
157,1
158,2
159,2
160,3
161,1
162,1
163,2
164,2
165,1
166,2
167,1
168,1
169,2
170,3
171,1
172,3
173,2
174,1
175,2
176,3
177,3
178,1
179,1
180,3
181,1
182,3
183,3
184,1
185,1
186,2
187,1
188,1
189,1
190,2
191,3
192,2
193,1
194,1
195,3
196,3
197,1
198,3
199,1
200,1
201,1
202,1
203,2
204,1
205,1
206,1
207,1
208,3
209,2
210,3
211,2
212,3
213,2
214,2
215,1
216,1
217,2
218,1
219,3
220,1
221,1
222,1
223,1
224,1
225,1
226,3
227,1
228,1
229,1
230,3
231,1
232,2
233,3
234,1
235,1
236,3
237,1
238,1
239,2
240,2
241,1
242,1
243,3
244,2
245,2
246,3
247,1
248,1
249,2
250,1
251,2
252,1
253,3
254,3
255,3
256,1
257,3
258,3
259,1
260,1
261,2
262,2
263,1
264,2
265,2
266,3
267,3
268,2
269,1
270,1
271,2
272,2
273,1
274,2
275,1
276,2
277,2
278,2
279,1
280,3
281,3
282,2
283,1
284,3
285,1
286,1
287,3
288,3
289,2
290,3
291,2
292,1
293,3
294,1
295,2
296,1
297,3
298,2
299,3
300,3
301,2
302,1
303,1
304,1
305,1
306,2
307,1
308,3
309,2
310,2
311,1
312,1
313,2
314,1
315,3
316,1
317,2
318,1
319,2
320,2
321,1
322,1
323,2
324,1
325,2
326,1
327,2
328,1
329,3
330,2
331,3
332,1
333,2
334,1
335,1
336,3
337,2
338,2
339,3
340,2
341,1
342,1
343,2
344,2
345,3
346,1
347,2
348,2
349,3
350,3
351,1
352,1
353,1
354,3
355,2
356,1
357,3
358,1
359,2
360,3
361,3
362,2
363,2
364,3
365,3
366,2
367,1
368,1
369,2
370,3
371,3
372,2
373,2
374,1
375,2
376,3
377,3
378,1
379,1
380,1
381,2
382,2
383,1
384,2
385,2
386,3
387,2
388,2
389,2
390,1
391,3
392,1
393,1
394,2
395,1
396,1
397,3
398,1
399,1
400,2
401,2
402,1
403,1
404,3
405,1
406,2
407,1
408,2
409,2
410,2
411,1
412,1
413,2
414,2
415,3
416,2
417,2
418,3
419,3
420,1
421,3
422,2
423,3
424,2
425,3
426,1
427,2
428,2
429,3
430,1
431,3
432,2
433,1
434,3
435,1
436,2
437,1
438,1
439,1
440,1
441,2
442,3
443,2
444,3
445,3
446,1
447,2
448,1
449,1
450,2
451,1
452,1
453,2
454,2
455,2
456,2
457,3
458,3
459,2
460,1
461,1
462,2
463,1
464,2
465,2
466,2
467,2
468,2
469,3
470,2
471,2
472,1
473,1
474,1
475,3
476,3
477,1
478,1
479,2
480,2
481,3
482,2
483,1
484,1
485,2
486,3
487,2
488,1
489,3
490,2
491,2
492,2
493,3
494,2
495,2
496,2
497,2
498,1
499,1
500,3
501,1
502,1
503,2
504,3
505,2
506,3
507,3
508,3
509,1
510,1
511,2
512,2
513,1
514,3
515,2
516,2
517,3
518,2
519,2
520,2
521,2
522,1
523,1
524,2
525,2
526,2
527,3
528,1
529,1
530,1
531,3
532,3
533,1
534,3
535,1
536,3
537,2
538,2
539,2
540,1
541,3
542,3
543,1
544,2
545,1
546,2
547,2
548,2
549,2
550,2
551,2
552,1
553,3
554,2
555,3
556,2
557,1
558,3
559,2
560,1
561,3
562,2
563,1
